Tanah Longsor,3/28/2014,19:00 WIB,107.131,-6.81725,Kel. Sawah Kec. Cianjur Kab. Cianjur Prov. Jabar,Nihil,1 unit rumah (RB),*Kronologis : Akibat hujan deras dan kondisi tanah yang labil *Upaya : BPBD Kab. Cianjur sudah meninjau lokasi dan akan menentukan langkah selanjutnya,,,
Tanah Longsor,3/27/2014,16:15 WIB,107.732,-7.11076,Ds. Cukang Genteng Kec. Pasir Jambu Kab. Bandung Prov. Jabar,Nihil,- Longsoran menimbun bahu jalan kabupaten sepanjang 20 m tinggi 6m - 4 rumah terancam,"*Kronologis : Akibat hujan deras dan kondisi tanah yang labil *Upaya : - BPBD setempat, aparat terkait dan warga sudah siap bekerja bakti - BPBD memberikan bantuan berupa alat 10 skop, 10 cangkul, 300 lembar karung dan 10 buah gacok.",,,
Tanah Longsor,3/26/2014,19:00 WIB,107.909,-7.22791,Blok Patrik KM 6 Ds.Tanjung Jaya Kec.Banjarwangi Kab.Garut Prov.Jawa Barat,Nihil,-Longsoran menimpa bahu jalan sepanjang 8 meter dan tinggi 2 meter -Jalan tidak dapat dilalui oleh kendaraan,*Kronologis: -Kondisi tanah yang labil *Upaya: -BPBD Kab.Garut akan berkoordinasi dengan Bina Marga dan dibutuhkan alat berat *Kondisi Mutakhir: -Cuaca sampai saat ini Pkl.23:00 WIB masih diguyur hujan,,,
Tanah Longsor,3/25/2014,05.30 WIB,110.82,-7.84505,Ds. Blora Kec. Manyaran Kab. Wonogiri Prov. Jawa Tengah,- 2 orang hilang an. Suwarno /L/65 th dan . Tina/P/57 th dan 1 orang LR,3 unit rumah RB,*Kronologis : Hujan deras *Upaya : - BPBD Kab. Wonogiri sedang mencari korban yang hilang - BPBD Prov Jateng sedamg menyiapkan logisti untuk dikirim ke wonogiri,,,
Tanah Longsor,3/18/2014,03:00 WIB,111.976,-2.44729,Ds. Amin Jaya Kec. Pangkalan Banteng Kab. Kotawaringin Barat Prov. Kalteng,Nihil,Jembatan sungai Buaya (RS),"*Kronologis : Terkena arus deras sungai Buaya *Upaya : BPBD melakukan pendataan, dinas PU membuat jembatan sementara dari pohon kelapa",,,
Tanah Longsor,3/17/2014,02:00 WIB,102.668,-3.45482,Ds. 4 suku menanti Kec. Sindang kelinggi Kab. Rejang Lebong Prov. Bengkulu,Nihil,Jln. Utama antara kecamatan sindang kelinggi dan sindang dataran tertutup material longsoran,*Kronologis : Hujan deras mengakibatkan 8 titik longsoran *Upaya : TRC BPBD sidang lebong terjun ke TKP di bantu dinas PU membersihkan material longsoran dengan alat berat,,,
Tanah Longsor,3/16/2014,16:15 WIB,107.613,-6.7918,Ds. Cikahuripan Kec. Lembang Kab. Bandung Barat Prov. Jawa Barat,4 orang (LR) dan 1 orang masih tertimbun,1 Unit warung makan (RB),*Kronologis : Akibat hujan deras dan struktur tanah yang labil *Upaya : BPBD setempat sudah ke lokasi untuk melakukan evakuasi korban dan masih melakukan pencarian korban yang tertimbun,,,
Tanah Longsor,3/15/2014,17:00 WIB,107.799,-7.38565,Kec. Cikajang Kab. Garut Prov. Jawa Barat,Nihil,"Jalan Cikajang-Cisompet mengalami kerusakan dengan panjang 10 m, Tinggi 1 m, lebar 1,5 m.",*Kronologis : Akibat hujan deras *Upaya : BPBD setempat berkordinasi dengan PU Binamarga untuk membersihkan material lingsoran,,,
Tanah Longsor,3/11/2014,05:30 WIB,107.77,-6.65003,Ds. Cirangkong Kec. Cijambe Kab. Subang Prov. Jawa Barat,Nihil,"2 Ha Sawah, 1 Ha Perkebunan Rusak tertimbun material longsor, dan Jalan penghubung antar desa rusak sepanjang 80 M (Terputus/tertimbun)",*Kronologis : Akibat hujan deras dan lokasi kejadian merupakan daerah lereng. *Upaya : Binamarga dan Polri sudah kelokasi untuk melakukan perbaikan. *Kondisi Mutakhir : Jalan masih terputus dan belum bisa dilalui alat transportasi.,,,
Tanah Longsor,3/10/2014,19:00 WIB,110.745,-7.33952,Ds. Karangmojo Kec. Klego Kab. Boyolali Prov. Jateng,Nihil,1 unit rumah RS dan 2 unit rumah terancam,*Kronologis : Akibat hujan deras dan rumah korban berada di dekat tebing dengan ketinggian 15 meter *Upaya : BPBD sudah kelokasi untuk membersihkan material longsor dan memberikan bantuan logistik,,,
Tanah Longsor,3/9/2014,20:00 WIB,108.054,-7.29758,Kec. Sariwangi Kab. Tasikmalaya Prov. Jawa Barat,Nihil,3 Unit rumah terancam,"*Kronologis : Hujan disertai kondisi tanah yang labil. *Upaya : - Pihak BPBD Kab. Tasikmalaya belum melakukan penanganan, karena masih membutuhkan bantuan bronjong - Jumlah KK dan jumlah Jiwa sedang dalam pedataan",,,
